
#Centro 	 err 	 	 		  Fwhm 	 err 				 Area 	 Err
1.534065 	 0.000005 	 	 0.001297 	 0.000009 	 	 323544.737302 	 366.178483 
1.534230 	 0.000004 	 	 0.001260 	 0.000006 	 	 533491.298706 	 586.303998 
1.534505 	 0.000003 	 	 0.001237 	 0.000005 	 	 992216.529319 	 1070.414488 
1.534673 	 0.000003 	 	 0.001183 	 0.000005 	 	 1374763.496793 	 1418.983269 
1.534817 	 0.000003 	 	 0.001084 	 0.013538 	 	 1904272.538800 	 1800.190700 
1.534898 	 0.000003 	 	 0.001016 	 0.059217 	 	 2325305.600667 	 2061.713380 
1.534967 	 0.000013 	 	 0.001092 	 0.000023 	 	 2523324.555274 	 2404.376188 
1.535038 	 0.000014 	 	 0.000954 	 0.420764 	 	 2366228.297922 	 1968.859025 
1.535213 	 0.000009 	 	 0.000928 	 0.187520 	 	 3877162.933351 	 3138.204515 
1.535242 	 0.000008 	 	 0.000855 	 0.000177 	 	 4278527.352664 	 3190.917291 
1.535452 	 0.000004 	 	 0.000213 	 0.005839 	 	 8781716.675491 	 1630.013664 
1.535554 	 0.000003 	 	 0.000139 	 0.428831 	 	 18682407.976649 	 2272.641844 
