805.66638	9123
805.67047	10231
805.67456	10737.472
805.67865	11061.472
805.68274	11158
805.68683	11401
805.69092	11305
805.69501	11409
805.6991	11298
805.70319	11462
805.70728	11477
805.71136	11581
805.71545	11654.472
805.71954	11581
805.72363	11675
805.72778	11663
805.73187	11846.472
805.73596	11895
805.74005	11919.472
805.74414	11911.472
805.74823	11920.472
805.75232	12145
805.75641	12055
805.7605	12222.472
805.76459	12230
805.76868	12287
805.77277	12301
805.77686	12421
805.78094	12433
805.78503	12471.472
805.78912	12591.472
805.79321	12649
805.7973	12550.472
805.80139	12744
805.80548	12749
805.80957	12900.472
805.81366	12885
805.81775	13104.472
805.82184	13011
805.82593	13032
805.83002	13253
805.83411	13014
805.8382	13350.472
805.84229	13286.472
805.84644	13350
805.85052	13469
805.85461	13589
805.8587	13613
805.86279	13740.472
805.86688	13637
805.87097	13765.472
805.87506	13874
805.87915	13744.472
805.88324	14005
805.88733	13904.472
805.89142	14129.472
805.89551	14077
805.8996	14160
805.90369	14222
805.90778	14204
805.91187	14301.472
805.91595	14464.472
805.92004	14476
805.92413	14411
805.92816	14668
805.93225	14564
805.93634	14709.472
805.94043	14926
805.94452	14890.472
805.94861	15120
805.9527	15121
805.95679	15175
805.96088	15262
805.96497	15423
805.96906	15391.472
805.97314	15481
805.97723	15550.472
805.98132	15542.472
805.98541	15608.472
805.9895	15610.472
805.99359	15772.472
805.99768	15887.472
806.00177	15943
806.00586	16104
806.00995	15921
806.01404	16209
806.01813	16299
806.02222	16322
806.02631	16427
806.0304	16503.473
806.03448	16611.473
806.03857	16666.473
806.04266	16678.473
806.04675	16807
806.05078	16921
806.05487	16916
806.05896	17010
806.06305	17115
806.06714	17234.473
806.07123	17315
806.07532	17218
806.07941	17631.473
806.0835	17487
806.08759	17660.473
806.09167	17873
806.09576	17639
806.09985	18017
806.10394	18025.473
806.10803	18023.473
806.11206	18006
806.11615	18296
806.12024	18321
806.12433	18486.473
806.12842	18585.473
806.13251	18740
806.1366	18685
806.14069	18951.473
806.14478	19048.473
806.14886	19097
806.15295	19238.473
806.15704	19232
806.16107	19292
806.16516	19368.473
806.16925	19305
806.17334	19402
806.17743	19681.473
806.18152	19768.473
806.18561	19960
806.1897	19939.473
806.19379	20105.473
806.19788	20108
806.2019	20371
806.20599	20437
806.21008	20542
806.21417	20704
806.21826	20808.473
806.22235	20978.473
806.22644	20809.473
806.23053	21007
806.23462	21134
806.23865	21227.473
806.24274	21263
806.24683	21586.473
806.25092	21571.473
806.255	21648.473
806.25909	21591
806.26318	21957.473
806.26727	22104
806.2713	22270
806.27539	22157
806.27948	22219
806.28357	22334
806.28766	22479
806.29175	22634
806.29584	22843
806.29987	22917
806.30396	23063
806.30804	23112
806.31213	23147
806.31622	23584
806.32031	23654
806.3244	23387
806.32843	23566
806.33252	23689
806.33661	23782.473
806.3407	23930
806.34479	24152
806.34888	24479
806.35291	24431.473
806.35699	24567.473
806.36108	24782.473
806.36517	24921.473
806.36926	25049
806.37335	25203
806.37744	25202.473
806.38147	25385.473
806.38556	25471.473
806.38965	25717
806.39374	25863
806.39783	26004
806.40186	26048
806.40594	26150
806.41003	26363.473
806.41412	26255.473
806.41821	26415.473
806.4223	26550
806.42633	26738
806.43042	27124.473
806.43451	27245.473
806.4386	27320
806.44269	27306
806.44672	27425
806.45081	27622
806.4549	27834
806.45898	27904.473
806.46307	28140
806.4671	28294.473
806.47119	28525.473
806.47528	28716
806.47937	28491.473
806.48346	28881.473
806.48749	28898
806.49158	29144
806.49567	29289.473
806.49976	29611
806.50385	29903
806.50787	30088
806.51196	30131.473
806.51605	30004.473
806.52014	30426.473
806.52423	30492
806.52826	30705
806.53235	30712
806.53644	30859
806.54053	31141
806.54456	31328.473
806.54865	31720
806.55273	31631.473
806.55682	31765
806.56091	32060.473
806.56494	32320.473
806.56903	32468
806.57312	32671
806.57721	32702
806.58124	33009.473
806.58533	33246.473
806.58942	33244
806.59351	33569.473
806.59753	33373
806.60162	33996.473
806.60571	33833
806.6098	34283
806.61383	34387
806.61792	34598
806.62201	34834
806.6261	35342
806.63013	35430
806.63422	35776.473
806.63831	36048
806.6424	36010
806.64642	36489
806.65051	36295
806.6546	36968
806.65869	37367
806.66272	37730
806.66681	37707
806.6709	37941
806.67499	38247
806.67902	38307
806.68311	38615
806.68719	39114
806.69122	39381
806.69531	39630
806.6994	39607.473
806.70349	39313
806.70752	39141.473
806.71161	38639.473
806.7157	37922
806.71979	37795.473
806.72382	37809
806.72791	38643.473
806.73199	39475
806.73602	40189
806.74011	40369
806.7442	40542
806.74823	40468
806.75232	40514
806.75641	40863
806.7605	41453
806.76453	42420
806.76862	43708
806.77271	44806
806.77673	45359
806.78082	45711
806.78491	45980
806.78894	46367
806.79303	46571
806.79712	46768
806.80121	46986
806.80524	47395
806.80933	47488
806.81342	47766
806.81744	48039
806.82153	48539
806.82562	48625
806.82965	48802
806.83374	49147
806.83783	49616
806.84186	49432
806.84595	50039
806.85004	50605
806.85406	50895
806.85815	50817
806.86224	50859
806.86627	51249
806.87036	51807.473
806.87445	51803
806.87848	51839
806.88257	52353
806.88666	52480
806.89069	52615
806.89478	52918
806.89886	53046
806.90289	53494
806.90698	53605
806.91107	53756
806.9151	54278
806.91919	54208
806.92328	54150.473
806.92731	54567
806.9314	54563
806.93542	54767
806.93951	54923
806.9436	55320
806.94763	55325
806.95172	55294
806.95581	55730
806.95984	55426
806.96393	55576
806.96802	56047
806.97205	55742
806.97614	56167
806.98016	56178
806.98425	56592
806.98834	56673
806.99237	56588
